id	type	chain_id	timestamp	block_number	transaction_type	transaction_address	token_addresses	symbols	wallets	wallets_categories	amounts	amount_stable	amount_native	prices_stable	prices_native	pool_address	direction	lp_token_address	wallet_balances	reserves	sender	to	amounts_native	amounts_stable	from_address	lp_token_dict	network	to_address
0x2c0f272cd660daff7cb0262ce5465a4a611a9450a91218071b2f68669b3edff9-169	erc20	137	1685589611	43392135	transfer	0x2c0f272cd660daff7cb0262ce5465a4a611a9450a91218071b2f68669b3edff9	0xb763f1177e9b2fb66fbe0d50372e3e2575c043e5	Knot	0x6131b5fae19ea4f9d964eac0408e4408b66337b5', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	1.511771686	0.03084794179	None	0.02040515911	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0x6131b5fae19ea4f9d964eac0408e4408b66337b5'}	None			None	None	None	0.03084794179	0x6131b5fae19ea4f9d964eac0408e4408b66337b5	None	polygon	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0x2a35d102f7e8d9b059550ebfd938b613bfed377caa092bf9acf0d7aaa2a7b6f7-22	erc20	250	1685588487	63399665	transfer	0x2a35d102f7e8d9b059550ebfd938b613bfed377caa092bf9acf0d7aaa2a7b6f7	0x7381ed41f6de418dde5e84b55590422a57917886	beFTM	0xb4d961671cadfed687e040b076eee29840c142e5', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	15.21721731	2.37958793	None	0.1563747091	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0xb4d961671cadfed687e040b076eee29840c142e5'}	None			None	None	None	2.37958793	0xb4d961671cadfed687e040b076eee29840c142e5	None	fantom	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0x9a2c63da2b232c2917d5e36a0440d1ae7bad237af2177617319dbe25e79b6db2-31	erc20	56	1685586926	28708822	transfer	0x9a2c63da2b232c2917d5e36a0440d1ae7bad237af2177617319dbe25e79b6db2	0x2a0f5257f4bfe6c75cd58a14a0e7c4651e2160de	MKOALA	0xdb6f1920a889355780af7570773609bd8cb1f498', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	688546776719	1.666638114	None	2.42E-12	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0xdb6f1920a889355780af7570773609bd8cb1f498'}	None			None	None	None	1.666638114	0xdb6f1920a889355780af7570773609bd8cb1f498	None	bsc	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0x4ce8fb68a5db761c7245bcfcd30947002a103024b54a33740111ddb3866eaffe-474	erc20	137	1685581414	43388496	transfer	0x4ce8fb68a5db761c7245bcfcd30947002a103024b54a33740111ddb3866eaffe	0xc2132d05d31c914a87c6611c10748aeb04b58e8f	USDT	0x6131b5fae19ea4f9d964eac0408e4408b66337b5', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	0.064819	0.06482831487	None	1.000143706	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0x6131b5fae19ea4f9d964eac0408e4408b66337b5'}	None			None	None	None	0.06482831487	0x6131b5fae19ea4f9d964eac0408e4408b66337b5	None	polygon	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0x7a96223c066467cba4b54b69db7c16e5e02f0353bb02d1b955dbb57960323019-328	erc20	56	1685580852	28706800	transfer	0x7a96223c066467cba4b54b69db7c16e5e02f0353bb02d1b955dbb57960323019	0x396d8805d184ef5325b5ccd107638adfd38ccff8	Factr	0xefdca55e4bce6c1d535cb2d0687b5567eef2ae83', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	700000	13886.01855	None	0.01983716935	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0xefdca55e4bce6c1d535cb2d0687b5567eef2ae83'}	None			None	None	None	13886.01855	0xefdca55e4bce6c1d535cb2d0687b5567eef2ae83	None	bsc	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0x548c005bb2d4f2ce1eff1bd47ae24dcf38d90ce7f5bd24a5b5fba2fe446d690e-222	erc20	56	1685576824	28705480	transfer	0x548c005bb2d4f2ce1eff1bd47ae24dcf38d90ce7f5bd24a5b5fba2fe446d690e	0xef048634a3583386d09ffad8b445c7c5a97ce179	QBT	0xdb6f1920a889355780af7570773609bd8cb1f498', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	0.3115229089	0.007933289271	None	0.02546615046	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0xdb6f1920a889355780af7570773609bd8cb1f498'}	None			None	None	None	0.007933289271	0xdb6f1920a889355780af7570773609bd8cb1f498	None	bsc	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0xb341b38cd767f086136a1bc7a461ffedc17765f53015d9bb26b0a647a93d1f87-30	erc20	56	1685575394	28705004	transfer	0xb341b38cd767f086136a1bc7a461ffedc17765f53015d9bb26b0a647a93d1f87	0x341a3c66391a070ace49f297abee1bb31e0a6fd7	AWKM	0xdb6f1920a889355780af7570773609bd8cb1f498', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	15922.87938	0.3029164065	None	1.90E-05	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0xdb6f1920a889355780af7570773609bd8cb1f498'}	None			None	None	None	0.3029164065	0xdb6f1920a889355780af7570773609bd8cb1f498	None	bsc	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0xe14b5af7460aa546ee552f1b57f06a044f4cdc635a7b99e1e0e1e9e2c20fd29f-220	erc20	1	1685574515	17382011	transfer	0xe14b5af7460aa546ee552f1b57f06a044f4cdc635a7b99e1e0e1e9e2c20fd29f	0x8a001303158670e284950565164933372807cd48	WFAI	0x22f9dcf4647084d6c31b2765f6910cd85c178c18', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	7321875.274	0.4955501594	None	6.77E-08	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0x22f9dcf4647084d6c31b2765f6910cd85c178c18'}	None			None	None	None	0.4955501594	0x22f9dcf4647084d6c31b2765f6910cd85c178c18	None	eth	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0x47ce353577af1458798e6a90dd6de7252034ee7e91adeba1997cfc2f92624c3a-197	erc20	56	1685564158	28701262	transfer	0x47ce353577af1458798e6a90dd6de7252034ee7e91adeba1997cfc2f92624c3a	0xe4fae3faa8300810c835970b9187c268f55d998f	CATE	0xdb6f1920a889355780af7570773609bd8cb1f498', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	540911.0804	0.1952374713	None	3.61E-07	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0xdb6f1920a889355780af7570773609bd8cb1f498'}	None			None	None	None	0.1952374713	0xdb6f1920a889355780af7570773609bd8cb1f498	None	bsc	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0xe5bcfe07b7956d76dce14b48ced59f4202d41d4ea294fc3350f1214d4044c5f8-150	erc20	1	1685563787	17381128	transfer	0xe5bcfe07b7956d76dce14b48ced59f4202d41d4ea294fc3350f1214d4044c5f8	0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48	USDC	0x22f9dcf4647084d6c31b2765f6910cd85c178c18', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	29.720619	29.720619	None	1	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0x22f9dcf4647084d6c31b2765f6910cd85c178c18'}	None			None	None	None	29.720619	0x22f9dcf4647084d6c31b2765f6910cd85c178c18	None	eth	0x720c9244473dfc596547c1f7b6261c7112a3dad4
